HomeTeam,HomeGoals,AwayGoals,AwayTeam
Argentina,3,0,Algeria
Argentina,2,0,Austria
Australia,2,0,Turkiye
Austria,3,1,Jordan
Belgium,1,1,Egypt
Belgium,0,0,Iran
Brazil,1,1,Morocco
Brazil,3,0,Haiti
Canada,6,0,Qatar
Czechia,1,1,South Africa
Ecuador,0,0,Curaçao
England,4,2,Croatia
France,3,1,Senegal
France,3,0,Iraq
Germany,7,1,Curaçao
Germany,2,1,Ivory Coast
Ghana,1,0,Panama
Haiti,0,1,Scotland
Iran,2,2,New Zealand
Iraq,1,4,Norway
Ivory Coast,1,0,Ecuador
Jordan,1,2,Algeria
Mexico,2,0,South Africa
Mexico,1,0,South Korea
Netherlands,2,2,Japan
Netherlands,5,1,Sweden
New Zealand,1,3,Egypt
Norway,3,2,Senegal
Portugal,1,1,DR Congo
Qatar,1,1,Switzerland
Saudi Arabia,1,1,Uruguay
Scotland,0,1,Morocco
South Korea,2,1,Czechia
Spain,0,0,Cape Verde
Spain,4,0,Saudi Arabia
Sweden,5,1,Tunisia
Switzerland,4,1,Bosnia & Herz.
Tunisia,0,4,Japan
Turkiye,0,1,Paraguay
USA,4,1,Paraguay
USA,2,0,Australia
Uruguay,2,2,Cape Verde
Uzbekistan,1,3,Colombia
